date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:55:05	89479/89479	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202019%2008:55:04%20GMT	https://www.mzcxla.com/characters	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/characters.html	(from https://www.mzcxla.com/)
01:55:06	55275/55275	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202019%2008:55:05%20GMT	https://www.mzcxla.com/character-notes-1---modern-set	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/character-notes-1---modern-set.html	(from https://www.mzcxla.com/)
01:55:07	54357/54357	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202019%2008:55:06%20GMT	https://www.mzcxla.com/designation-sweeper72acd7b5	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/designation-sweeper72acd7b5.html	(from https://www.mzcxla.com/)
01:55:08	54359/54359	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202019%2008:55:07%20GMT	https://www.mzcxla.com/designation-warlock	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/designation-warlock.html	(from https://www.mzcxla.com/)
01:55:08	3758/3758	---M--	200	added ('OK')	image/jpeg	etag:%22ad8d399a381a3710f611ae065a24d5c1%22	https://irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/thumbnail/IMG_3819.JPG	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/thumbnail/IMG_3819.jpg	(from https://www.mzcxla.com/)
01:55:09	889/889	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Jun%202019%2008:55:08%20GMT	https://www.mzcxla.com/Quote.svg	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/Quote.e.delayed	(from https://www.mzcxla.com/)
01:55:09	11070/11070	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202019%2008:55:09%20GMT	https://www.mzcxla.com/_dm/s/rt/dist/css/d-css-foundation.min.css?version=2019-06-06T09_19_38	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/_dm/s/rt/dist/css/d-css-foundation.minacec.css	(from https://www.mzcxla.com/)
01:55:10	18246/18246	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Dec%202018%2007:45:34%20GMT	https://dd-cdn.multiscreensite.com/fonts/additional-fonts.css	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/dd-cdn.multiscreensite.com/fonts/additional-fonts.css	(from https://www.mzcxla.com/)
01:55:10	54296/54296	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202019%2008:55:10%20GMT	https://www.mzcxla.com/_dm/s/rt/dist/css/css-font-package.min.css?version=2019-06-06T09_19_38	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/_dm/s/rt/dist/css/css-font-package.minacec.css	(from https://www.mzcxla.com/)
01:55:11	161512/161512	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202019%2008:55:10%20GMT	https://www.mzcxla.com/_dm/s/rt/dist/css/d-css-runtime-desktop-one-package-new.min.css?version=2019-06-06T09_19_38	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/_dm/s/rt/dist/css/d-css-runtime-desktop-one-package-new.minacec.css	(from https://www.mzcxla.com/)
01:55:11	10575/10575	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202019%2008:55:11%20GMT	https://www.mzcxla.com/_dm/s/rt/widgets_css?widgets=IMAGE,MULTI_LANG,SOCIAL&v=2019-06-06T09_19_38&device=desktop	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/_dm/s/rt/widgets_cssd630.css	(from https://www.mzcxla.com/)
01:55:12	8660/8660	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202019%2002:36:57%20GMT	http://irp-cdn.multiscreensite.com/9e313fc3/files/9e313fc3_home_1.min.css?v=44	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/irp-cdn.multiscreensite.com/9e313fc3/files/9e313fc3_home_1.min6704.css	(from https://www.mzcxla.com/)
01:55:13	297993/297993	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202019%2002:37:00%20GMT	http://irp-cdn.multiscreensite.com/9e313fc3/files/9e313fc3_1.min.css?v=44	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/irp-cdn.multiscreensite.com/9e313fc3/files/9e313fc3_1.min6704.css	(from https://www.mzcxla.com/)
01:55:15	0/0	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202019%2008:55:12%20GMT	https://app.multiscreenstore.com/script.js	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/app.multiscreenstore.com/script.17.delayed	(from https://www.mzcxla.com/)
01:55:17	58880/58880	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2012%20Jun%202019%2008:55:15%20GMT	https://www.mzcxla.com/_dm/s/rt/dist/scripts/d-js-one-runtime-layouts-package.min.js?version=2019-06-06T09_19_38	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/_dm/s/rt/dist/scripts/d-js-one-runtime-layouts-package.minacec.js	(from https://www.mzcxla.com/)
01:55:18	84245/84245	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://www.mzcxla.com/)
01:55:18	417052/417052	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2012%20Jun%202019%2008:55:14%20GMT	https://www.mzcxla.com/_dm/s/rt/dist/scripts/d-js-runtime-one-package.min.js?version=2019-06-06T09_19_38	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/_dm/s/rt/dist/scripts/d-js-runtime-one-package.minacec.js	(from https://www.mzcxla.com/)
